                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.731,                 2.4012,                 1.5178,                0.01378,                0.87896,                0.24463,                0.12523,                 1.4865,                 3.0941,                 1.3255,             0.00053344,             0.00053344,             0.00053344
                      2,                 1.6213,                  1.761,                 1.4807,                0.31695,                0.27186,                0.29088,                0.14063,                 1.5942,                 2.6029,                  1.445,              0.0010478,              0.0010478,              0.0010478
                      3,                 1.6332,                 1.6308,                 1.4869,                0.39327,                0.51824,                0.42296,                0.20176,                 1.7609,                 2.1367,                 1.6806,              0.0015258,              0.0015258,              0.0015258
                      4,                 1.6218,                 1.5802,                 1.4818,                0.52019,                0.65416,                 0.5398,                0.25509,                 1.7214,                 1.9303,                 1.6386,               0.001502,               0.001502,               0.001502
                      5,                 1.5978,                 1.4489,                 1.4443,                0.65261,                 0.7339,                0.69312,                0.30939,                 1.7487,                 2.0254,                 1.5968,               0.001447,               0.001447,               0.001447
                      6,                 1.5742,                 1.3552,                 1.4136,                0.77576,                0.80787,                0.81614,                0.42972,                 1.6256,                 1.4571,                 1.5182,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.5644,                  1.333,                 1.4292,                0.65734,                0.80012,                0.77631,                0.33764,                 1.7638,                 1.4713,                 1.5954,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.5423,                 1.2672,                 1.4079,                 0.8789,                0.85976,                0.91892,                0.46382,                 1.6453,                 1.2006,                 1.4557,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.5126,                 1.2284,                 1.3836,                0.87284,                  0.862,                0.91916,                0.48128,                  1.641,                 1.0562,                 1.4501,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.4943,                 1.1762,                 1.3684,                0.88484,                0.90442,                0.91986,                0.46992,                 1.5936,                 1.0799,                 1.4285,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.4639,                 1.1489,                 1.3583,                0.86484,                0.89096,                0.93931,                0.49256,                 1.5709,                 1.1104,                  1.425,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.4687,                 1.1662,                 1.3785,                0.85055,                 0.8464,                0.91629,                0.46229,                 1.5799,                 1.3575,                 1.4383,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.4918,                 1.1152,                  1.373,                0.90812,                  0.908,                0.94419,                0.47299,                 1.5862,                0.96862,                 1.4455,              0.0010069,              0.0010069,              0.0010069
                     14,                  1.463,                 1.0494,                 1.3427,                0.89878,                0.93526,                0.95177,                0.51883,                 1.5303,                0.88457,                 1.3792,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.4536,                 1.0082,                 1.3414,                0.88848,                0.92062,                 0.9523,                0.51186,                 1.5403,                0.87238,                 1.3899,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.4342,                0.99851,                 1.3663,                0.91437,                0.93402,                0.95424,                0.52627,                 1.5295,                0.86276,                 1.4042,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.4137,                0.97797,                 1.3363,                0.89541,                0.93733,                0.94583,                0.51019,                 1.5341,                0.82184,                 1.3871,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.4088,                0.92663,                 1.3221,                0.92371,                 0.9502,                0.96003,                0.53207,                 1.4913,                0.77645,                 1.3749,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.4203,                0.93087,                 1.3275,                0.91294,                0.94536,                0.95162,                0.51248,                 1.4984,                0.78611,                 1.3527,              0.0006768,              0.0006768,              0.0006768
